id,number,item_total,total,state,adjustment_total,credit_total,user_id,created_at,updated_at,completed_at,bill_address_id,ship_address_id,payment_total,shipping_method_id,shipment_state,payment_state,email,special_instructions
0,,1000,1000,complete,0,0,956993830,2012-07-13,2012-07-13,,,,1000,,,,,
1,,1000,1000,complete,0,0,187601757,2012-07-17,2012-07-17,,,,1000,,,,,
2,,8000,8000,complete,0,0,975572189,2012-07-22,2012-07-22,,,,8000,,,,,
3,,4300,4300,complete,0,0,22960014,2012-07-13,2012-07-13,,,,4300,,,,,
4,,3000,3000,complete,0,0,675148478,2012-07-17,2012-07-17,,,,3000,,,,,
5,,1000,1000,complete,0,0,386199561,2012-07-28,2012-07-28,,,,1000,,,,,
6,,1000,1000,complete,0,0,172816471,2012-06-28,2012-06-28,,,,1000,,,,,
7,,1000,1000,complete,0,0,235774389,2012-07-13,2012-07-13,,,,1000,,,,,
8,,300,300,complete,0,0,1034018247,2012-07-30,2012-07-30,,,,300,,,,,
9,,400,400,complete,0,0,825533186,2012-06-29,2012-06-29,,,,400,,,,,
10,,8000,8000,complete,0,0,918478646,2012-07-29,2012-07-29,,,,8000,,,,,
11,,8000,8000,complete,0,0,1046959423,2012-07-14,2012-07-14,,,,8000,,,,,
12,,400,400,complete,0,0,835918637,2012-07-13,2012-07-13,,,,400,,,,,
13,,4000,4000,complete,0,0,1,2012-07-29,2012-07-29,,,,4000,,,,,
14,,1200,1200,complete,0,0,157312430,2012-07-07,2012-07-07,,,,1200,,,,,
15,,1200,1200,complete,0,0,590306657,2012-06-08,2012-06-08,,,,1200,,,,,
16,,3000,3000,complete,0,0,575485547,2012-07-11,2012-07-11,,,,3000,,,,,
17,,400,400,complete,0,0,873959920,2012-07-21,2012-07-21,,,,400,,,,,
18,,500,500,complete,0,0,994338771,2012-06-05,2012-06-05,,,,500,,,,,
19,,3200,3200,complete,0,0,685394585,2012-07-30,2012-07-30,,,,3200,,,,,
20,,3000,3000,complete,0,0,562806419,2012-07-29,2012-07-29,,,,3000,,,,,
21,,3200,3200,complete,0,0,206649281,2012-06-10,2012-06-10,,,,3200,,,,,
22,,400,400,complete,0,0,853560069,2012-06-07,2012-06-07,,,,400,,,,,
23,,1000,1000,complete,0,0,331209749,2012-07-27,2012-07-27,,,,1000,,,,,
24,,3200,3200,complete,0,0,75326820,2012-07-30,2012-07-30,,,,3200,,,,,
25,,3000,3000,complete,0,0,522756822,2012-06-08,2012-06-08,,,,3000,,,,,
26,,500,500,complete,0,0,523944495,2012-07-29,2012-07-29,,,,500,,,,,
27,,400,400,complete,0,0,305504796,2012-07-12,2012-07-12,,,,400,,,,,
28,,1000,1000,complete,0,0,486296279,2012-06-16,2012-06-16,,,,1000,,,,,
29,,500,500,complete,0,0,436965436,2012-07-14,2012-07-14,,,,500,,,,,
30,,1200,1200,complete,0,0,378310152,2012-07-14,2012-07-14,,,,1200,,,,,
31,,500,500,complete,0,0,413327074,2012-07-12,2012-07-12,,,,500,,,,,
32,,1000,1000,complete,0,0,358114821,2012-07-27,2012-07-27,,,,1000,,,,,
33,,3000,3000,complete,0,0,304595689,2012-07-30,2012-07-30,,,,3000,,,,,
34,,1000,1000,complete,0,0,995493676,2012-07-14,2012-07-14,,,,1000,,,,,
35,,3000,3000,complete,0,0,50512260,2012-07-30,2012-07-30,,,,3000,,,,,
36,,6300,6300,complete,0,0,407201487,2012-07-14,2012-07-14,,,,6300,,,,,
37,,400,400,complete,0,0,74384795,2012-07-12,2012-07-12,,,,400,,,,,
38,,400,400,complete,0,0,616230022,2012-07-14,2012-07-14,,,,400,,,,,
39,,3200,3200,complete,0,0,135242632,2012-07-14,2012-07-14,,,,3200,,,,,
40,,1000,1000,complete,0,0,771020115,2012-07-14,2012-07-14,,,,1000,,,,,
41,,1000,1000,complete,0,0,771020115,2012-07-05,2012-07-05,,,,1000,,,,,
42,,300,300,complete,0,0,494154972,2012-07-13,2012-07-13,,,,300,,,,,
43,,500,500,complete,0,0,494154972,2012-07-13,2012-07-13,,,,500,,,,,
44,,300,300,complete,0,0,452191684,2012-07-30,2012-07-30,,,,300,,,,,
45,,500,500,complete,0,0,452191684,2012-07-29,2012-07-29,,,,500,,,,,
46,,400,400,complete,0,0,674206273,2012-07-13,2012-07-13,,,,400,,,,,
47,,300,300,complete,0,0,674206273,2012-07-12,2012-07-12,,,,300,,,,,
48,,500,500,complete,0,0,799403637,2012-07-12,2012-07-12,,,,500,,,,,
49,,500,500,complete,0,0,799403637,2012-07-11,2012-07-11,,,,500,,,,,
